Event,FIGHTER,OPEN,CURRENT,IMPLIED,ELO,GPT,SIM,MMA-AI,CAPPERS,GROK,CLAUDE,GEMINI,CHAT GPT,DEEP SEEK,AI-AVERAGE,MODEL 75,NEW MODEL,SCRAP,CAGE PICKS,CAGE PICKS,ELO/IMPLIED,RESULTS,METHOD,ROUND
UFC 326,Cody Garbrandt,170,130,42.63,65.16,30.19,46.5,22.0,61.6,46.30,51.26,40.68,41.09,44.26,44.72,51.36,49.36,44.70,40.29,43.05,53.90,W,UD,15
UFC 326,Long Xiao,-200,-155,57.37,34.84,69.81,53.5,78.0,38.4,53.70,48.74,59.32,58.91,55.74,55.28,48.64,50.64,55.30,59.72,56.95,46.11,L,UD,15
UFC 326,Donte Johnson,-800,-800,84.55,66.51,74.27,85.2,80.0,96,78.40,60.73,85.12,79.42,78.91,76.52,76.49,76.27,79.01,77.76,79.10,75.53,W,SD,15
UFC 326,Cody Brundage,550,520,15.45,33.49,25.73,14.8,20.0,4,21.60,39.27,14.88,20.58,21.09,23.48,23.51,23.73,20.99,22.24,20.90,24.47,L,SD,15
UFC 326,Alberto Montes,-185,-180,59.09,75.17,54.98,61.6,83.0,93.7,62.80,55.5,64.55,65.11,58.65,61.32,65.69,65.84,66.74,63.27,66.19,67.13,W,SUB,R2
UFC 326,Ricky Turcios,160,150,40.91,24.83,45.02,38.4,17.0,6.3,37.20,44.5,35.45,34.89,41.35,38.68,34.31,34.16,33.26,36.73,33.81,32.87,L,SUB,R2
UFC 326,Cody Durden,-110,136,40.48,33.69,31.53,40.7,55.0,45.5,42.90,50.44,41.9,42.89,46.98,45.02,39.02,39.40,42.91,44.04,43.86,37.09,L,UD,15
UFC 326,Nyamjargal Tumendemberel,-110,-162,59.52,66.31,68.47,59.3,45.0,54.5,57.10,49.56,58.1,57.11,53.02,54.98,60.98,60.60,57.09,55.96,56.14,62.92,W,UD,15
UFC 326,Sumudaerji,-250,-218,65.69,33.88,31.23,66.9,80.0,55.6,70.70,55.69,79.81,72.88,68.23,69.46,56.76,55.08,61.87,65.68,63.54,49.79,W,UD,15
UFC 326,Jesus Aguilar,210,180,34.31,66.12,68.67,33.1,20.0,44.4,29.30,44.31,20.19,27.12,31.77,30.54,43.24,44.91,38.12,34.31,36.45,50.22,L,UD,15
UFC 326,Rafael Tobias,-300,-180,58.33,60.25,31.88,61.6,49.0,93.8,66.20,50.83,65.22,69.33,61.44,62.60,61.59,58.51,60.72,56.94,60.16,59.29,L,UD,15
UFC 326,Diyar Nurgozhay,250,150,41.67,39.75,68.12,38.4,51.0,6.2,33.80,49.17,34.78,30.67,38.56,37.40,38.41,41.49,39.28,43.06,39.84,40.71,W,UD,15
UFC 326,Luke Fernandez,-110,-218,65.69,39.98,57.23,66.9,80.0,89,66.20,54.62,81.12,61.05,63.97,65.39,57.29,57.35,65.98,66.39,67.42,52.84,L,KO,R2
UFC 326,Rodolfo Bellato,-110,180,34.31,60.02,42.77,33.1,20.0,11,33.80,45.38,18.88,38.95,36.03,34.61,42.71,42.65,34.02,33.61,32.58,47.17,W,KO,R2
Vegas 114,Josh Emmett,375,417,18.71,45.66,16.05,18.8,27.0,2.5,20.36,36.34,33.91,27.84,24.83,28.66,28.24,30.00,24.73,25.64,27.65,32.19,L,KO,R3
Vegas 114,Kevin Vallejos,-500,-526,81.29,54.34,83.95,81.2,73.0,97.5,79.64,63.66,66.09,72.16,75.17,71.34,71.76,70.00,75.27,74.36,72.35,67.82,W,KO,R3
Vegas 114,Amanda Lemos,210,193,32.99,45.7,26,36.3,28.0,19,37.38,44.33,47.08,40.92,42.68,42.48,38.69,38.84,36.40,37.84,38.47,39.35,L,UD,15
Vegas 114,Gillian Robertson,-250,-226,67.01,54.3,74,63.7,72.0,81,62.62,55.67,52.92,59.08,57.32,57.52,61.31,61.16,63.60,62.16,61.53,60.66,W,UD,15
Vegas 114,Ion Cutelaba,170,226,29.66,43.8,24.2,32.5,32.0,4.1,29.61,48.16,20.86,37.92,43.87,36.08,34.36,35.70,31.52,33.64,34.47,36.73,W,SUB,R1
Vegas 114,Oumar Sy,-200,-267,70.34,56.2,75.8,67.5,68.0,85.9,70.39,51.84,79.14,62.08,56.13,63.92,65.64,64.30,67.57,66.36,65.46,63.27,L,SUB,R1
Vegas 114,Andre Fili,250,343,21.84,44.79,23.97,27.4,26.0,1.3,29.97,40.04,36.84,33.48,34.82,35.03,32.20,32.73,29.13,31.57,32.53,33.32,L,SD,15
Vegas 114,Jose Delgado,-300,-421,78.16,55.21,76.03,72,74.0,98.7,70.03,59.96,63.16,66.52,65.18,64.97,67.80,67.24,70.81,68.36,67.41,66.69,W,SD,15
Vegas 114,Marwan Rahiki,-200,-256,69.51,35.87,65.21,68.5,71.0,100,68.41,67.63,62.73,60.11,71.23,66.02,57.93,57.41,67.29,66.85,63.09,52.69,W,KO,R2
Vegas 114,Harry Hardwick,170,217,30.49,64.13,34.79,31.5,29.0,0,31.59,32.37,37.27,39.89,28.77,33.98,42.07,42.59,32.71,33.15,36.91,47.31,L,KO,R2
Vegas 114,Vitor Petrino,-250,-224,66.87,84.11,49.57,67.5,63.0,68.8,64.43,50.62,47.48,63.05,68.92,58.90,71.80,70.10,63.12,59.32,63.31,75.49,W,UD,15
Vegas 114,Steven Asplund,210,192,33.13,15.89,50.43,32.5,37.0,31.2,35.57,49.38,52.52,36.95,31.08,41.10,28.20,29.90,36.88,40.68,36.69,24.51,L,UD,15
Vegas 114,Charles Johnson,-170,-166,60.36,45.72,58.12,56.5,37.0,67.5,35.29,44.58,50.40,58.08,58.33,49.34,47.12,51.96,51.99,49.79,49.61,53.04,W,SD,15
Vegas 114,Bruno Silva,145,144,39.64,54.28,41.88,43.5,63.0,32.5,64.71,55.42,49.60,41.92,41.67,50.66,52.88,48.04,48.01,50.21,50.39,46.96,L,SD,15
Vegas 114,Brad Tavares,-185,102,48.07,48.21,49.86,55.1,42.0,43.2,55.52,50.41,46.08,58.72,52.34,52.61,50.60,49.18,49.96,51.25,50.71,48.14,L,UD,15
Vegas 114,Eryk Anders,160,-115,51.93,51.79,50.14,44.9,58.0,56.8,44.48,49.59,53.92,41.28,47.66,47.39,49.40,50.82,50.04,48.75,49.29,51.86,W,UD,15
Vegas 114,Chris Curtis,210,283,25.26,21.46,15.3,30,18.0,9.1,34.59,39.59,38.16,38.94,38.91,38.04,27.10,26.14,28.12,31.69,29.85,23.36,L,UD,15
Vegas 114,Myktybek Orolbai,-250,-340,74.74,78.54,84.7,70,82.0,90.9,65.41,60.41,61.84,61.06,61.09,61.96,72.90,73.86,71.88,68.31,70.15,76.64,W,UD,15
Vegas 114,Bolaji Oki,170,229,29.4,16.28,28.81,30.0,28.0,9.2,26.73,40.51,44.84,31.41,31.42,34.98,24.14,26.13,28.78,32.71,29.98,22.84,L,KO,R3
Vegas 114,Manoel Sousa,-200,-270,70.6,83.72,71.19,70.0,72.0,90.8,73.27,59.49,55.16,68.59,68.58,65.02,75.86,73.87,71.22,67.29,70.02,77.16,W,KO,R3
Vegas 114,Luan Lacerda,170,200,32.18,47.11,37.95,35.5,33.0,6.5,32.81,41.73,42.16,36.51,36.78,38.00,37.37,38.78,34.75,37.06,37.81,39.65,L,UD,15
Vegas 114,Hecher Sosa,-200,-229,67.82,52.89,62.05,64.5,67.0,93.5,67.19,58.27,57.84,63.49,63.22,62.00,62.63,61.22,65.25,62.94,62.19,60.36,W,UD,15
Vegas 114,Bia Mesquita,-500,-612,83.53,66.52,56.32,83.53,71.0,92.3,77.94,70.76,62.98,82.44,81.23,75.07,76.00,74.44,75.32,73.28,73.21,75.03,W,SUB,R1
Vegas 114,Montserrat Rendon,375,490,16.47,33.48,43.68,16.47,29.0,7.7,22.06,29.24,37.02,17.56,18.77,24.93,24.00,25.56,24.68,26.72,26.79,24.98,L,SUB,R1
Vegas 114,Elijah Smith,-250,-245,68.69,37.61,46.52,63.7,70.0,90.9,64.81,56.27,59.94,67.52,68.34,63.38,57.04,56.15,63.12,62.14,59.47,53.15,W,SUB,R2
Vegas 114,Su Young You,210,209,31.31,62.39,53.48,36.3,30.0,9.1,35.19,43.73,40.06,32.48,31.66,36.62,42.96,43.85,36.88,37.86,40.53,46.85,L,SUB,R2
Vegas 114,Piera Rodriguez,-200,-150,58.3,66.52,69.42,58.3,62.0,55.8,52.54,53.97,50.36,57.08,51.89,53.17,59.12,60.59,57.83,56.95,58.20,62.41,W,UD,15
Vegas 114,Sam Hughes,170,133,41.7,33.48,30.58,41.7,38.0,44.2,47.46,46.03,49.64,42.92,48.11,46.83,40.88,39.41,42.17,43.05,41.80,37.59,L,UD,15
London,Movsar Evloev,-250,-251,69.11,61.73,56.27,66.9,62.0,79.1,66.23,68.86,64.12,74.92,65.34,67.89,65.69,65.47,66.78,65.58,65.38,65.42,W,MD,25
London,Lerone Murphy,210,213,30.89,38.27,43.73,33.1,38.0,20.9,33.77,31.14,35.88,25.08,34.66,32.11,34.31,34.53,33.22,34.42,34.62,34.58,L,MD,25
London,Luke Riley,-175,-186,64.39,72.71,75.31,69.1,71.0,91.9,66.40,57.57,78.45,71.33,68.21,68.39,67.83,68.92,71.49,69.67,69.85,68.55,W,UD,15
London,Michael Aswell,150,178,35.61,27.29,24.69,30.9,29.0,8.1,33.60,42.43,21.55,28.67,31.79,31.61,32.17,31.08,28.51,30.33,30.15,31.45,L,UD,15
London,Michael Page,-155,-170,62.35,84.7,67.57,61.6,60.0,77.1,61.60,48.26,72.88,59.02,62.87,60.93,69.55,69.59,65.27,61.73,64.97,73.53,W,UD,15
London,Sam Patterson,135,163,37.65,15.3,32.43,38.4,40.0,22.9,38.40,51.74,27.12,40.98,37.13,39.07,30.45,30.41,34.73,38.28,35.03,26.48,L,UD,15
London,Iwo Baraniewski,-450,-621,82.93,82.15,66.06,81.7,71.0,100,71.91,54.24,85.12,78.88,74.15,72.86,79.00,79.32,77.10,72.88,74.89,82.54,W,KO,R1
London,Austen Lane,350,464,17.07,17.85,33.94,18.3,29.0,0,28.09,45.76,14.88,21.12,25.85,27.14,21.00,20.68,22.90,27.12,25.11,17.46,L,KO,R1
London,Roman Dolidze,250,347,21.54,61.1,40.96,22.3,19.0,4.7,74.64,38.09,27.9,34.81,41.89,43.47,52.43,40.03,35.18,37.45,40.44,41.32,L,UD,15
London,Christian Leroy Duncan,-300,-439,78.46,38.9,59.04,77.7,81.0,95.3,25.36,61.91,72.1,65.19,58.11,56.53,47.57,59.97,64.82,62.55,59.56,58.68,W,UD,15
London,Kurtis Campbell,-150,-236,67.61,62.4,75.36,64.5,71.0,75,61.55,77.92,68.45,62.88,71.58,68.48,63.85,66.39,68.93,69.16,68.00,65.01,L,KO,R2
London,Danny Silva,130,197,32.39,37.6,24.64,35.5,29.0,25,38.45,22.08,31.55,37.12,28.42,31.52,36.15,33.61,31.07,30.85,32.00,35.00,W,KO,R2
London,Mason Jones,-250,-139,56.02,55.85,35.17,52.6,58.0,72.3,51.29,54.64,61.22,61.33,61.44,57.98,54.39,55.44,56.35,54.46,54.78,55.94,W,UD,15
London,Axel Sola,210,119,43.98,44.15,64.83,47.4,42.0,27.7,48.71,45.36,38.78,38.67,38.56,42.02,45.61,44.56,43.65,45.54,45.22,44.07,L,UD,15
London,Nathaniel Wood,-110,200,32.1,39.32,65.64,33.6,40.0,47,63.79,57.87,33.2,47.88,44.87,49.52,45.07,39.93,45.93,48.36,46.57,35.71,W,SD,15
London,Losene Keita,-110,-239,67.9,60.68,34.36,66.4,60.0,53,36.21,42.13,66.8,52.12,55.13,50.48,54.93,60.07,54.07,51.64,53.43,64.29,L,SD,15
London,Mario Pinto,-300,-871,86.39,86.84,74.83,86.3,70.0,100,83.56,76.20,89.22,84.12,79.63,82.55,85.60,84.57,83.37,80.48,81.90,86.62,W,UD,15
London,Felipe Franco,250,607,13.61,13.16,25.17,13.7,30.0,0,16.44,23.80,10.78,15.88,20.37,17.45,14.40,15.43,16.63,19.52,18.10,13.39,L,UD,15
London,Antonio Trocoli,300,577,14.21,19.89,37.66,14.8,29.0,0,19.06,11.19,15.85,17.56,22.79,17.29,17.72,18.36,18.36,20.99,20.25,17.05,L,UD,15
London,Mantas Kondratavicius,-400,-816,85.79,80.11,62.34,85.2,71.0,100,80.94,88.81,84.15,82.44,77.21,82.71,82.28,81.64,81.64,79.01,79.75,82.95,W,UD,15
London,Louie Sutherland,-185,203,31.77,53.78,24.63,30.0,36.0,4.8,74.12,9.98,24.88,29.44,41.52,35.99,53.22,39.79,32.81,33.82,37.23,42.78,L,KO,R1
London,Brando Pericic,160,-243,68.23,46.22,75.37,70.0,64.0,95.2,25.88,90.02,75.12,70.56,58.48,64.01,46.78,60.21,67.19,66.18,62.77,57.23,W,KO,R1
London,Shem Rock,160,-125,53.25,44.7,42.57,46.8,58.0,64.3,52.44,38.32,54.2,48.92,53.27,49.43,50.13,49.09,50.62,49.32,49.11,48.98,L,UD,15
London,Abdul-Kareem Al-Selwady,-185,105,46.75,55.3,57.43,53.2,42.0,35.7,47.56,61.68,45.8,51.08,46.73,50.57,49.87,50.91,49.38,50.69,50.89,51.03,W,UD,15
London,Shanelle Dyer,-200,-469,79.73,64.59,39,79.1,71.0,96.3,77.74,61.39,84.63,82.91,71.94,75.72,74.02,71.76,73.48,70.96,70.96,72.16,W,KO,R2
London,Ravena Oliveira,170,377,20.27,35.41,61,20.9,29.0,3.7,22.26,38.61,15.37,17.09,28.06,24.28,25.98,28.24,26.52,29.04,29.04,27.84,L,KO,R2
Seattle,Israel Adesanya,-110,-146,57.61,48.96,43.74,54.3,45.0,41.7,49.22,51.34,59.84,57.82,53.21,54.29,51.93,52.79,51.16,51.81,51.62,53.29,L,KO,R2
Seattle,Joe Pyfer,-110,124,42.39,51.04,56.26,45.7,55.0,58.3,50.78,48.66,40.16,42.18,46.79,45.71,48.07,47.21,48.84,48.19,48.38,46.72,W,KO,R2
Seattle,Alexa Grasso,170,157,37.48,41.86,18.81,38.4,17.0,41.1,42.64,43.12,37.85,44.91,44.12,42.53,40.66,38.40,37.03,35.86,36.97,39.67,W,KO,R1
Seattle,Maycee Barber,-200,-185,62.52,58.14,81.19,61.6,83.0,58.9,57.36,56.88,62.15,55.09,55.88,57.47,59.34,61.60,62.97,64.14,63.03,60.33,L,KO,R1
Seattle,Michael Chiesa,-500,-800,85.2,71.51,75,75,56.0,98.8,95.39,83.47,88.42,78.64,87.22,86.63,84.03,78.87,81.33,79.89,79.60,78.36,W,SUB,R1
Seattle,Niko Price,375,550,14.8,28.49,25,25,44.0,1.2,4.61,16.53,11.58,21.36,12.78,13.37,15.97,21.13,18.67,20.11,20.40,21.65,L,SUB,R1
Seattle,Julian Erosa,285,267,26.27,52.81,46.43,26.6,12.0,15.9,52.97,34.67,56.78,34.88,29.11,41.68,44.02,38.59,35.31,36.68,38.53,39.54,L,KO,R1
Seattle,Lerryan Douglas,-350,-327,73.73,47.19,53.57,73.4,88.0,84.1,47.03,65.33,43.22,65.12,70.89,58.32,55.98,61.41,64.69,63.32,61.47,60.46,W,KO,R1
Seattle,Mansur Abdul-Malik,-140,-121,52.77,49.23,55.66,51.7,42.0,60,48.99,56.43,58.45,54.73,53.92,54.50,50.33,51.58,53.08,52.74,52.22,51.00,L,KO,R3
Seattle,Yousri Belgaroui,120,104,47.23,50.77,44.34,48.3,58.0,40,51.01,43.57,41.55,45.27,46.08,45.50,49.67,48.42,46.92,47.27,47.78,49.00,W,KO,R3
Seattle,Terrance McKinney,-175,-171,60.82,30.91,62.47,60.4,73.0,69.7,31.50,62.38,52.11,63.92,58.34,53.65,41.08,49.92,56.87,58.02,53.92,45.87,W,KO,R1
Seattle,Kyle Nelson,150,146,39.18,69.09,37.53,39.6,27.0,30.3,68.50,37.62,47.89,36.08,41.66,46.35,58.92,50.09,43.13,41.99,46.08,54.14,L,KO,R1
Seattle,Ignacio Bahamondes,-200,-284,71.23,57.21,75.48,71.4,73.0,94.3,57.23,67.82,77.14,68.12,69.88,68.04,61.89,66.15,71.16,70.01,68.19,64.22,L,UD,15
Seattle,Tofiq Musayev,170,235,28.77,42.79,24.52,28.6,27.0,5.7,42.77,32.18,22.86,31.88,30.12,31.96,38.11,33.85,28.84,29.99,31.81,35.78,W,UD,15
Seattle,Chase Hooper,-350,-271,70.37,76.4,84.29,70.5,73.0,88.6,75.59,72.14,64.88,72.44,74.21,71.85,74.12,73.38,74.77,73.38,73.78,73.39,L,KO,R1
Seattle,Lance Gibson Jr.,285,225,29.63,24.5,15.71,29.5,27.0,11.4,24.41,27.86,35.12,27.56,25.79,28.15,26.18,26.92,25.32,26.62,26.34,27.07,W,KO,R1
Seattle,Marcin Tybura,-160,114,44.98,52.31,68.24,45.7,35.0,43.2,51.96,52.81,48.21,49.88,48.33,50.24,49.75,49.10,49.15,50.02,50.04,48.65,L,UD,15
Seattle,Tyrell Fortune,140,-133,55.02,47.69,31.74,54.3,65.0,56.8,48.04,47.19,51.79,50.12,51.67,49.76,50.25,50.90,50.85,49.98,49.96,51.36,W,UD,15
Seattle,Casey O’Neill,110,-105,49.33,50.22,64.34,46.8,56.0,42.2,48.82,52.63,50.25,52.91,46.12,50.15,49.46,50.59,50.87,52.23,51.63,49.78,W,KO,R1
Seattle,Gabriella Fernandes,-130,-111,50.67,49.78,35.66,53.2,44.0,57.8,51.18,47.37,49.75,47.09,53.88,49.85,50.54,49.41,49.13,47.77,48.37,50.23,L,KO,R1
Seattle,Navajo Stirling,-425,-563,81.79,58.88,81.57,82.2,73.0,100,58.14,78.34,86.12,79.44,86.22,77.65,66.27,72.93,78.70,78.13,75.38,70.34,W,KO,R1
Seattle,Bruno Lopes,355,429,18.21,41.12,18.43,17.8,27.0,0,41.86,21.66,13.88,20.56,13.78,22.35,33.73,27.07,21.30,21.87,24.62,29.67,L,KO,R1
Seattle,Ricky Simon,135,-140,56.1,61.72,67.2,58.3,61.0,75.9,62.07,62.47,64.22,61.88,61.33,62.39,59.96,60.04,62.93,62.31,61.96,58.91,MD,DRAW,15
Seattle,Adrian Yanez,-155,119,43.9,38.28,32.8,41.7,39.0,24.1,37.93,37.53,35.78,38.12,38.67,37.61,40.04,39.96,37.07,37.69,38.04,41.09,MD,DRAW,15
Seattle,Alexia Thainara,-350,-686,84.07,77.48,71.2,84,70.0,100,76.17,79.63,81.95,84.11,85.33,81.44,79.24,80.20,81.27,79.05,79.20,80.78,W,UD,15
Seattle,Bruna Brasil,285,504,15.9,22.52,28.8,16,30.0,0,23.83,20.37,18.05,15.89,14.67,18.56,20.75,19.79,18.73,20.95,20.80,19.21,L,UD,15
Seattle,Renato Moicano,-220,144,40.58,62.68,27,39.1,46.9,14.4,52.84,28.30,54.12,41.82,53.56,46.13,52.03,48.74,41.94,42.96,45.54,51.63,W,SUB,R2
Seattle,Chris Duncan,185,-150,59.42,37.32,73,60.9,53.1,85.6,47.16,71.70,45.88,58.18,46.44,53.87,47.97,51.26,58.06,57.05,54.46,48.37,L,SUB,R2
Vegas 115,Virna Jandiroba,-190,-117,53.47,66.06,28,54.3,50.6,59.1,61.27,64.80,62.11,54.91,65.27,61.67,60.27,58.23,56.35,55.16,56.72,59.77,W,UD,15
Vegas 115,Tabatha Ricci,165,113,46.53,33.94,72,45.7,49.4,40.9,38.73,35.20,37.89,45.09,34.73,38.33,39.73,41.77,43.65,44.84,43.28,40.24,L,UD,15
Vegas 115,Abdul Rakhman Yakhyaev,-1400,-1150,91.09,69.72,67,90.8,73.0,100,88.34,91.40,94.18,91.12,96.32,92.27,83.05,82.44,86.63,86.52,84.66,80.41,W,SUB,R1
Vegas 115,Brendson Ribeiro,850,1011,8.91,30.28,33,9.2,27.0,0,11.66,8.60,5.82,8.88,3.68,7.73,16.95,17.56,13.37,13.48,15.34,19.60,L,SUB,R1
Vegas 115,Rafael Estevam,-215,122,44.61,78.51,78,43.7,49.1,43.2,71.92,56.80,58.92,44.77,54.20,57.32,65.01,60.10,56.70,57.18,59.61,61.56,L,KO,R3
Vegas 115,Ethyn Ewing,185,-127,55.39,21.49,22,56.3,50.9,56.8,28.08,43.20,41.08,55.23,45.80,42.68,34.99,39.90,43.30,42.82,40.39,38.44,W,KO,R3
Vegas 115,Tommy McMillen,-500,-809,88.12,67.42,71,89.3,73.0,97.7,84.19,87.00,88.42,89.77,91.89,88.25,79.91,79.95,84.35,84.32,82.35,77.77,W,KO,R1
Vegas 115,Manolo Zecchini,385,733,11.88,32.58,29,10.7,27.0,2.3,15.81,13.00,11.58,10.23,8.11,11.75,20.09,20.05,15.65,15.68,17.65,22.23,L,KO,R1
Vegas 115,Jose Delano,-275,-285,73.25,51.9,43,73.4,60.0,89.7,68.45,79.60,71.25,71.42,78.44,73.83,64.53,64.45,69.13,68.20,66.44,62.58,W,UD,15
Vegas 115,Robert Ruchala,235,270,26.75,48.1,57,26.6,40.0,10.3,31.55,20.4,28.75,28.58,21.56,26.17,35.47,35.55,30.87,31.81,33.56,37.43,L,UD,15
Vegas 115,Thomas Petersen,-130,-104,50.49,53.98,33,51.7,56.6,33.3,52.13,49.10,46.72,50.88,42.68,48.30,52.20,50.77,47.33,47.85,48.84,52.24,W,MD,15
Vegas 115,Guilherme Pat,110,100,49.51,46.02,67,48.3,43.4,66.7,47.87,50.90,53.28,49.12,57.32,51.70,47.80,49.23,52.67,52.15,51.16,47.77,L,MD,15
Vegas 115,Alessandro Costa,-450,-355,77.24,67.59,43,77.2,68.9,95.3,73.18,75.30,74.33,73.21,79.02,75.01,72.67,71.78,73.12,70.52,70.76,72.42,W,KO,R2
Vegas 115,Stewart Nicoll,350,335,22.76,32.41,57,22.8,31.1,4.7,26.82,24.70,25.67,26.79,20.98,24.99,27.33,28.22,26.88,29.48,29.24,27.59,L,KO,R2
Vegas 115,Lando Vannata,-170,-203,65.71,65.79,65,66.4,37.1,72.1,64.27,63.20,65.18,70.62,68.34,66.32,65.26,64.67,63.97,62.51,63.26,65.75,L,KO,R2
Vegas 115,Darrius Flowers,145,186,34.29,34.21,35,33.6,62.9,27.9,35.73,36.80,34.82,29.38,31.66,33.68,34.74,35.33,36.03,37.49,36.74,34.25,W,KO,R2
Vegas 115,Hailey Cowan,120,122,44.61,35.81,37,45.7,27.0,28.6,41.29,45.80,51.44,46.16,54.66,47.87,40.57,41.35,41.64,43.63,42.47,40.21,W,KO,R2
Vegas 115,Alice Pereira,-140,-127,55.39,64.19,63,54.3,73.0,71.4,58.71,54.20,48.56,53.84,45.34,52.13,59.43,58.65,58.36,56.37,57.53,59.79,L,KO,R2
Vegas 115,Azamat Bekoev,-850,-525,83.16,81.29,58,82.7,53.7,100,82.46,79.80,81.45,81.44,83.76,81.78,82.30,79.95,78.89,75.41,77.01,82.23,L,SUB,R3
Vegas 115,Tresean Gore,625,488,16.84,18.71,42,17.3,46.3,0,17.54,20.20,18.55,18.56,16.24,18.22,17.70,20.05,21.11,24.59,22.99,17.78,W,SUB,R3
Vegas 115,Dione Barbosa,105,-117,53.47,30.47,44,54.3,45.3,71.4,44.38,44.10,49.12,52.63,55.23,49.09,42.77,44.19,49.49,48.63,46.51,41.97,W,MD,15
Vegas 115,Melissa Gatto,-125,113,46.53,69.53,56,45.7,54.7,28.6,55.62,55.90,50.88,47.37,44.77,50.91,57.23,55.81,50.51,51.37,53.49,58.03,L,MD,15
Vegas 115,Dakota Hope,165,138,41.6,24.84,57,42.8,43.8,56,33.55,42.7,38.6,35.73,31.66,36.45,33.33,35.72,40.75,40.73,38.56,33.22,L,UD,15
Vegas 115,Kai Kamaka,-190,-144,58.4,75.16,43,57.2,56.2,44,66.45,57.3,61.4,64.27,68.34,63.55,66.67,64.28,59.25,59.27,61.44,66.78,W,UD,15
UFC 327,Jiri Prochazka,145,-107,49.78,51.61,38.4,51.7,59.4,63.5,53.8,53.62,53.12,54.12,52.31,53.39,52.34,51.76,53.43,53.02,52.06,52.24,L,KO,R1
UFC 327,Carlos Ulberg,-170,-109,50.22,48.35,61.6,48.3,40.6,36.5,46.2,46.38,46.88,45.88,47.69,46.61,47.63,48.21,46.47,46.97,47.94,47.75,W,KO,R1
UFC 327,Azamat Murzakanov,-155,-204,64.63,62.90,71.57,64.5,56.4,76.2,67.4,66.84,66.82,66.83,66.12,66.80,64.40,63.87,61.17,66.23,65.81,65.23,L,KO,R3
UFC 327,Paulo Costa,135,172,35.37,37.10,28.43,35.5,43.6,23.8,32.6,33.16,33.18,33.17,33.88,33.20,35.60,36.13,38.83,33.77,34.19,34.77,W,KO,R3
UFC 327,Curtis Blaydes,-160,-120,52.56,72.24,29.57,54.3,12.0,76,64.1,72.84,59.45,72.41,71.45,68.05,69.52,66.33,91.91,59.69,54.52,59.85,L,UD,15
UFC 327,Josh Hokit,140,103,47.44,27.77,70.43,45.7,88.0,24,35.9,27.16,40.55,27.59,28.55,31.95,30.48,33.67,8.09,40.31,45.49,40.15,W,UD,15
UFC 327,Dominick Reyes,-150,-151,57.96,58.04,34.21,56.3,53.0,67.3,55.7,54.07,52.18,57.11,48.92,53.60,57.26,55.84,58.11,54.08,51.44,52.94,W,SD,15
UFC 327,Johnny Walker,130,129,42.04,41.97,65.79,43.7,47.0,32.7,44.3,45.93,47.82,42.89,51.08,46.40,42.74,44.16,41.89,45.92,48.56,47.06,L,SD,15
UFC 327,Cub Swanson,170,-107,49.78,61.52,55.91,48.9,45.2,78.8,47.9,54.21,47.6,44.98,45.72,48.08,56.98,57.28,73.26,53.84,48.80,52.35,W,KO,R1
UFC 327,Nate Landwehr,-200,-109,50.22,38.48,44.09,51.1,54.8,21.2,52.1,45.79,52.4,55.02,54.28,51.92,43.02,42.72,26.74,46.16,51.20,47.65,L,KO,R1
UFC 327,Patricio Pitbull,180,253,27.28,47.94,28.32,27.8,29.9,20.2,28.4,43.86,23.5,22.36,21.07,27.84,41.43,41.34,68.6,31.03,28.15,33.52,L,UD,15
UFC 327,Aaron Pico,-210,-308,72.72,52.06,71.68,72.2,70.1,79.8,71.6,56.14,23.5,77.64,78.93,61.56,58.57,56.45,31.4,64.16,65.22,61.35,W,UD,15
UFC 327,Kevin Holland,-110,-103,48.79,45.22,46.52,53.2,58.4,45.5,48.2,47.83,42.1,40.88,38.73,43.55,46.21,45.80,41.64,46.53,46.98,46.39,W,UD,15
UFC 327,Randy Brown,-110,-114,51.21,54.79,53.48,46.8,41.6,54.5,51.8,52.17,57.9,59.12,61.27,56.45,53.79,54.20,58.36,53.47,53.02,53.61,L,UD,15
UFC 327,Mateusz Gamrot,-220,-193,63.39,71.81,65.56,63.1,54.1,63.6,64.7,74.19,64.2,68.77,69.84,68.34,69.44,69.73,80.23,66.52,65.56,67.38,W,SUB,R2
UFC 327,Esteban Ribovics,185,163,36.61,28.19,34.44,36.9,45.9,36.4,35.3,25.81,35.8,31.23,30.16,31.66,30.56,30.27,19.77,33.48,34.44,32.62,L,SUB,R2
UFC 327,Tatiana Suarez,-225,-157,58.86,68.99,55.37,54.9,59.5,76.3,61.3,72.34,68.15,66.52,73.56,68.37,66.42,67.31,79.11,65.99,63.96,65.73,W,SUB,R2
UFC 327,Lupita Godinez,190,134,41.14,31.02,44.63,45.1,40.5,23.7,38.7,27.66,31.85,33.48,26.44,31.63,33.58,32.69,20.89,34.01,36.05,34.27,L,SUB,R2
UFC 327,MarQuel Mederos,130,134,41.10,33.48,53.57,58.3,48.6,16,39.8,57.83,36.2,36.59,41.07,42.30,35.59,37.82,25.86,41.36,46.50,43.01,MD,DRAW,15
UFC 327,Chris Padilla,-150,-158,58.90,66.52,46.43,41.7,51.4,84,60.2,42.17,63.8,63.41,58.93,57.70,64.41,62.18,74.14,58.64,53.51,56.99,MD,DRAW,15
